#HashTags,User,Location,Devices,Tweet,Favourites,Followers count,isVerifiedUser,Retweet Count
['Oscar'],KaliMamadou2,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FCBarcelona: 🍿 Our third #Oscar nominee is … 𝗞𝗜𝗡𝗚 𝗠𝗘𝗠𝗣𝗛𝗜𝗦 🦁

⭐ Starring: @Memphis https://t.co/7DZFtESZZg",21459,29,FALSE,0
[],goldendummy,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Emily reina,2298,266,FALSE,0
['Oscar'],apantallate1,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @IndieWire: ""Licorice Pizza"" star Alana Haim and ""The Worst Person in the World"" star Renate Reinsve are #Oscar ready at the 94th Academ…",8262,220,FALSE,0
[],HerRoyalHotLass,🌊Du'Bhayi©🌊,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",...when you up at 1 am (CAT) waiting to see Beyoncé...and Chloe and Halle decide to show up on the red carpet as Yo… https://t.co/1XtS7rxkiM,12900,4016,FALSE,0
['Oscar'],lovqains,she/her | 19 | 14/50 📚,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",and when i get a picture or interaction of andrew and timothée ???? #Oscar https://t.co/36jL5pnnGI,26932,604,FALSE,0
['Oscar'],jedizambetta,Italy,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @JamieTheBat_: Robert Pattison has ARRIVED!
#Oscar https://t.co/F7tRq0EGxd",56055,576,FALSE,0
['Oscar'],DCMarvelUnite,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @heroichollywood: Retweet if you think Andrew should win! #Oscar https://t.co/8FHyu6whSS,32536,665,FALSE,0
['Oscar'],cshbur,@deeeejesus,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @21metgala: Simu Liu attends the 94th #Oscar https://t.co/hFG9ZSuROk,78054,6419,FALSE,0
['oscar'],spadesbee,"Chicago, IL","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @elordifiles: jacob elordi looks so fine #oscar https://t.co/ZrhLK6satb,25718,47,FALSE,0
[],SirRome9,"Georgia, USA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a look for sure!,37276,1285,FALSE,0
['Oscar'],pikesportrait,22• she/her🌈,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whatever happens tonight he's my winner🤍
#Oscar https://t.co/PulRgyVesy",10388,796,FALSE,0
['Oscar'],GlaeserBligh,"Meriden, CT","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Evening ❄️ snow before the #Oscar awards https://t.co/loQiAmqwEu,10599,553,FALSE,0
[],221cornelia,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",THEM 🥰💖,66005,917,FALSE,0
['Oscar'],somminaj,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @21metgala: Halle Bailey attends the 94th #Oscar https://t.co/FDBdKU3vy7,4597,340,FALSE,0
"['SpiderManNoWayHome', 'Oscar']",dayashoodie,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @spideyupdated: #SpiderManNoWayHome star Zendaya has arrived at this year’s #Oscar! And doesn’t she look STUNNING. https://t.co/PIYWoCyM…,59116,141,FALSE,0
['Oscar'],taylorgenesiss,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @EuphoriaHBONews: SLAY QUEEN!!!!!!!! 😍😍😍😍😍😍😍😍 #Oscar https://t.co/itsoX0dg0B,781,9,FALSE,0
"['OSCAR', 'RED']",kursadturksen,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#OSCAR  #RED
Tracee Ellis Ross https://t.co/vm99E0AZRe",365,172,FALSE,0
['oscar'],hollanhazz,ela/dela,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @tolkienianjedi: benedict cumberbatch and andrew garfield #oscar https://t.co/tkwi19EkF8,9558,2720,FALSE,0
['Oscar'],erinbethany,"Nashville, TN","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JamieTheBat_: Robert Pattison has ARRIVED!
#Oscar https://t.co/F7tRq0EGxd",41071,204,FALSE,0
"['Oscar', 'JamieDornan', 'AndrewGarfield']",jurgen_mdna,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Amazing 📷 #Oscar  #JamieDornan #AndrewGarfield 🙌🙌🙌 Jamie Doran &amp; Andrew Garfield 🙌⭐🙌⭐🙌⭐🙌⭐🙌,50749,3555,FALSE,0
['Oscar'],ivd_shot,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @VVFriedman: Kristen Stewart, also breaking some #Oscar red carpet rules. No mermaid dresses! No princess frocks! It's about time. https…",818,29,FALSE,0
['oscar'],PettyTheFrog,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @a1andar: kelly mantle has just arrived to the 2022 #oscar red carpet 🤩 https://t.co/T5SX3uCgRI,18,2457,FALSE,0
