#HashTags,User,Location,Devices,Tweet,Favourites,Followers count,isVerifiedUser,Retweet Count
"['OSCAR', 'BenedictCumberbatch']",beth_Livegv,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @itsmearrunima: #OSCAR #BenedictCumberbatch 
 MY FINE WINES 💖
. 
2015.                                       2022 https://t.co/EKYJdYZyJX",6453,18,FALSE,0
[],RETROJEDl,she/her • multi • 23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dune sweep commences 🙏🏼,16750,666,FALSE,0
['Oscar'],trinluvr,222,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @EuphoriaHBONews: Zendaya attends the 94th Oscars at the Dolby Theatre in Hollywood! #Oscar https://t.co/LRhVnbfesO,6668,4,FALSE,0
['Oscar'],msmelissa2011,Minnesota ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @heroichollywood: Retweet if you think Andrew should win! #Oscar https://t.co/8FHyu6whSS,12032,512,FALSE,0
['Oscar'],Auroravia1,iKON,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @safefortimmy: timothée chalamet being an icon as he damn should #Oscar https://t.co/dncKXGkZe8,19032,490,FALSE,0
['Oscar'],lhhabits,✺ Ψ ||-// ☬ ғ̶ᴘ̶ᴇ ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @safefortimmy: he served #Oscar https://t.co/8KCTefK7I5,94008,1367,FALSE,0
"['Dune', 'Oscar', 'Oscars', 'AcademyAwards']",felicianxzzz,hell,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @NextBestPicture: The #Dune Best Sound #Oscar acceptance speech #Oscars #AcademyAwards

Credit @kylebuchanan https://t.co/FdGAof0wBx",34389,102,FALSE,0
"['CODA', 'redCarpet', 'DisCo', 'Oscar']",RebelTweeter280,United States,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @maysoonzayid: #CODA on the #redCarpet There's no me without @MarleeMatlin I Love You Marlee #DisCo #Oscar https://t.co/s5hFccA4xl,19038,268,FALSE,0
"['Oscar', 'Oscars2022']",notkandance,ebtx/nactx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Lulamaybelle: #Oscar nominee Kristen Stewart has arrived! #Oscars2022 https://t.co/UoaLcp2l6Q,16804,189,FALSE,0
['Oscar'],htexwonder,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @billieethinker: the queen arrived #Oscar https://t.co/HZzLdtCLTw,4248,203,FALSE,0
['Oscar'],Taebear_bts7,Taehyung ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @comfortborhap: HE LOOKS SO GOOD #Oscar https://t.co/Bk0wtVmAGX,84356,1375,FALSE,0
['Oscar'],SanvalDanny,mentally living in halloween,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @safefortimmy: he served #Oscar https://t.co/8KCTefK7I5,25780,125,FALSE,0
['Oscar'],cam_ruizzz,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @LOVEROFPALLOM: TIMOTHEE CHALAMET AND ANDREW GARFIELD EVERYONE #Oscar https://t.co/fgwIgtsVWP,10312,61,FALSE,0
['Oscar'],larstokki,"Firenze, Toscana","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",1740,31,FALSE,0
['Oscar'],madgenious68,"Acapulco, Mexico","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @safefortimmy: timothée chalamet being an icon as he damn should #Oscar https://t.co/dncKXGkZe8,23182,1487,FALSE,0
['Oscar'],DianeSevenay,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The outfits this year are AMAZING. #Oscar https://t.co/afLLo5hSM4,50436,2631,FALSE,0
['Oscar'],Xzbiel41,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @_DCCBRASIL: Jason Momoa no red carpet do #Oscar https://t.co/h8Sjz5VQwm,102364,237,FALSE,0
[],partypartyeah7,She/her,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sorry but she’s the prettiest tonight, I don’t even need to see the others, she’s the moment, just look at her, a t… https://t.co/w9f8hppNlN",7194,18,FALSE,0
"['Dune', 'Oscar', 'Oscars', 'AcademyAwards']",tbslonelyx,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NextBestPicture: The #Dune Best Sound #Oscar acceptance speech #Oscars #AcademyAwards

Credit @kylebuchanan https://t.co/FdGAof0wBx",52456,326,FALSE,0
['Oscar'],BTSBLACKPINK5H,"buenos aires, argentina","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @CxhCenter: Chloe x Halle have arrived to the #Oscar Red Carpet https://t.co/rjgkkhrFRl,205178,2111,FALSE,0
['Oscar'],yukiologist,+63 she/her/they 23,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @taericherous: i fucking died #Oscar
https://t.co/yJAyHgpSD3",59282,188,FALSE,0
[],MEskeff,"Porto Alegre, Brasil","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tomaaaa,36278,103,FALSE,0
['oscar'],chasebelova,cr: acomaf,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @tolkienianjedi: benedict cumberbatch and andrew garfield #oscar https://t.co/tkwi19EkF8,38185,2984,FALSE,0
['Oscar'],emiab90,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @VVFriedman: Kristen Stewart, also breaking some #Oscar red carpet rules. No mermaid dresses! No princess frocks! It's about time. https…",9355,21,FALSE,0
"['Oscar', 'Oscars2022']",ikslikethatyo,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",One thing about HER is she will give you a train #Oscar #Oscars2022 mwah https://t.co/RHts1Nl2AE,4257,141,FALSE,0
['Oscar'],tae_to_my_kook,Mount Olympus ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @sIeepysnail: the mcu at the #Oscar https://t.co/telXA79Fvy,62840,65,FALSE,0
['Oscar'],ItsSimberg,The Multiverse,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@spideysnews More of Zendaya &amp; Academy Award-winner Andrew Garfield at the 2022 #Oscar’s!,24769,184,FALSE,0
['Oscar'],MyJoshCat,na cama do josh,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @safefortimmy: #Oscar details. https://t.co/nptvz9q3Xz,10982,635,FALSE,0
"['Dune', 'Oscar', 'Oscars', 'AcademyAwards']",hot_n_coleD,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NextBestPicture: The #Dune Best Sound #Oscar acceptance speech #Oscars #AcademyAwards

Credit @kylebuchanan https://t.co/FdGAof0wBx",55353,396,FALSE,0
['Oscar'],pleasingseokjin,solo ksj & hes | esnyseokjin,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",2022,262,FALSE,0
['Oscar'],MarvelDestroyer,"Queens, NY","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @spideysnews: Zendaya &amp; Andrew Garfield at the 2022 #Oscar’s! https://t.co/3xjl30y2N2,2792,7,FALSE,0
"['Dune', 'AcademyAwards', 'Oscar', 'TimotheeChalamet']",brideofire,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @SecretsOfDune: The One has arrived ✨ #Dune #AcademyAwards #Oscar #TimotheeChalamet  https://t.co/Z8SSuMrXY5,31197,129,FALSE,0
['Oscar'],ZayDynamite35,Tony Khan Payroll,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",30841,189,FALSE,0
['Oscar'],KarylMiller,#uniteblue,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#Oscar    Try getting into the Ladies room with all that green fabric! I would wear Depends underneath.,20876,1387,FALSE,0
['Oscar'],G_daisy88,Spring comeback,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",15530,120,FALSE,0
['Oscar'],Assirel_1207,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#Oscar manifesting Andrew Garfield’s win,1479,73,FALSE,0
['Oscar'],jackoween,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",7082,194,FALSE,0
['Oscar'],acelyax01,Canyon Moon,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ANDREW LOOKING FINE AS ALWAYS #Oscar,1999,2398,FALSE,0
['Oscar'],tinaIore,they she 16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @21metgala: Zendaya attends the 94th #Oscar https://t.co/lfuiAZZGsh,73764,4110,FALSE,0
['Oscar'],lpzgab,México,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @littlehappymind: I fucking love this woman and her talent. 
#Oscar https://t.co/IYX2w8602z",11529,18,FALSE,0
['Oscar'],sweeetpeas,they/any • 21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @BrianMcLight: The Doll has arrived #Oscar https://t.co/ZONLzVus81,96076,138,FALSE,0
[],MMaddiecake,"Greensboro, NC","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Damn my arms are bigger than her legs, I need to go on a diet",2919,40,FALSE,0
['Oscar'],PeaceKn1ght,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",142618,132,FALSE,0
[],mxxnmg_,ᜊ 𝐊𝐍𝐉 ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TFuckkkkk,4499,38,FALSE,0
['Oscar'],harlow92s,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @safefortimmy: timothée chalamet being an icon as he damn should #Oscar https://t.co/dncKXGkZe8,66197,778,FALSE,0
['Oscar'],JarrellBrownn,"Los Angeles, CA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ThePeachReport: Chloe X Halle DID THAT! #Oscar https://t.co/wtdG5xgnUs,33738,831,FALSE,0
"['Oscar', 'Oscars']",aestasestt,hogwarts,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @_amantedelcine_: JESSICA CHASTAIN IS LITERALLY A DISNEY PRINCESS #Oscar #Oscars https://t.co/W30c0nLQdU,4182,164,FALSE,0
['oscar'],bby_faun,"Toronto, Ontario","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @a1andar: kelly mantle has just arrived to the 2022 #oscar red carpet 🤩 https://t.co/T5SX3uCgRI,28307,111,FALSE,0
['Oscar'],LambertiDeborah,"Mtl, Rome, Milan ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Few people know my absolute love for Cinema and how much I love #Oscar night. 
One day I will be covering that nigh… https://t.co/weFgqRvLiQ",10990,395,FALSE,0
[],its_fifi,Dallas,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This man is sooo fine. Idc idc 🥵,8865,722,FALSE,0
['Oscar'],eunoia_mari,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",This is going to be worst Oscar😂 wtf is happening on red carpet? Where are A list celebrities?  #Oscar https://t.co/2s8SZgBECX,23608,705,FALSE,0
[],PinedesTheBrand,Where The Money At⚡️,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Remember the Titans Or Friday Night Lights. King Richard was super tough too,1477,74,FALSE,0
[],TriciaVanKlein,Du'Bhayi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @HerRoyalHotLass: ...when you up at 1 am (CAT) waiting to see Beyoncé...and Chloe and Halle decide to show up on the red carpet as Yoncé…,11075,1570,FALSE,0
"['Oscar', 'Oscar2022']",meyhollander,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @thesebbazz: It's a andrew garfield thing ✌️✌️✌️✌️

#Oscar #Oscar2022 https://t.co/wsTQGZj1OL",2094,485,FALSE,0
"['Oscar', 'Oscars2022']",gomezgaIore,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",H.E.R arrives to the #Oscar #Oscars2022 https://t.co/9yVL1PrKOj,38326,707,FALSE,0
['Oscar'],DebraHazelComm,"North Las Vegas, NV","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Mann_Pub: Best Actor Nominee Will Smith with his wife Jada Pinkett Smith wearing custom @JPGaultier #Oscar https://t.co/LkgRM3yUBK,3872,450,FALSE,0
"['Oscar', 'AcademyAward']",goldikins1,"Sugar Land, Tx ","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @etherealdjarin: #Oscar    #AcademyAward    oscars academy awards timothée chalamet zendaya hans zimmer dune sweep power of the dog coda…,1529,163,FALSE,0
"['Oscar', 'Oscars2022']",scullyspooky,"Natal, Brasil","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Lulamaybelle: #Oscar nominee Kristen Stewart has arrived! #Oscars2022 https://t.co/UoaLcp2l6Q,555415,2630,FALSE,0
[],ghaizhunt,Scranton,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",O look,3063,114,FALSE,0
['Oscar'],lit_mika,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @padfootbry: TICK TICK BOOM NATION I AM SCREAMING
#Oscar https://t.co/KKWUyldvny",1325,7,FALSE,0
"['CODA', 'redCarpet', 'DisCo', 'Oscar']",maysoonzayid,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @maysoonzayid: #CODA on the #redCarpet There's no me without @MarleeMatlin I Love You Marlee #DisCo #Oscar https://t.co/s5hFccA4xl,141156,32038,TRUE,0
['Oscar'],drizvled,under the canyon moon,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Don’t hate me but Zendaya’s whole look is such a flop #Oscar,5934,5350,FALSE,0
[],502eire,"Louisville, KY","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Kristen Stewart eviscerate me with a Pilot G2,138050,3281,FALSE,0
['Oscar'],NYprepChelsea,"Kew Gardens, Queens","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Jada Smith giving Black Cersei Lannister vibes 💜 #Oscar,5638,266,FALSE,0
['Oscar'],Jeroen27392095,Hoofddorp,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",1025,4,FALSE,0
[],titsandtaylor,"Brooklyn, NY","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I moaned when she popped up on my screen,317,10,FALSE,0
['Oscar'],feedthegemini,"Seattle, WA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ArthShahverdyan: Me judging  #Oscar looks while sitting at home with 38 dollars in my checking account: https://t.co/9l9iqFQRsh,6811,135,FALSE,0
['Oscar'],Mespared,"Queens, NY","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @christylemire: In all the time they're wasting with these inane #Oscar pre-show gags and bits and regular-person interactions that add…,59880,101,FALSE,0
['Oscar'],tomdayaskid,harry's house 🏠,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @JohnnysTrench: definitely texting tom holland #Oscar https://t.co/kmVNHtIxt5,41646,2349,FALSE,0
['Oscar'],Devin_Shaylsse,"Atlanta,Ga","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I really have high hopes for this years #Oscar especially with Will Packer producing it,9254,206,FALSE,0
['Oscar'],wrightbxrnes,Fred and George ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @andrewthinker: HE LOOKS PERFECT! #Oscar https://t.co/UVJipPHRUR,26609,1074,FALSE,0
['Oscar'],Czczbel,"Fairview, NJ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @etnow: Welcome to the Family Madrigal! #Oscar https://t.co/ZjmnSoq5uZ,15957,193,FALSE,0
['Oscar'],MalevolaS2,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @anthunesarth: Venus Williams no tapete vermelho do Oscar 2022. #Oscar 

(Foto: Getty Images / Too Fab) https://t.co/nGZ3VGVkHy",7775,1073,FALSE,0
[],stcelestial,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",it’s nothing,110520,1221,FALSE,0
['Oscar'],BmSluvdatea,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @klaizzie: SHAKING, CRYING, SHE IS A GODDESS #Oscar https://t.co/ApPd5OdY8k",5817,58,FALSE,0
['Oscar'],justinwriter6,"Margate, FL","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#Oscar is theme wacky tacky,328,12,FALSE,0
['Oscar'],btsbecks,she/her ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @beckygarchives: BECKY G #Oscar https://t.co/X63QrQNLI1,105833,1502,FALSE,0
['Oscar'],cuerposerrano99,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @WilliamLLott: Gabriel has arrived at the #Oscar red carpet! 😍 https://t.co/0MlckZm0mZ,45476,608,FALSE,0
['oscar'],K00KKIK,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @a1andar: kelly mantle has just arrived to the 2022 #oscar red carpet 🤩 https://t.co/T5SX3uCgRI,6914,1322,FALSE,0
['Oscar'],adonnelly50,"Cincinnati, OH","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @LarryInMissouri: The #Oscar is a bunch of entitled, no talent hacks so intoxicated by their own persona as to believe that a single, so…",31458,259,FALSE,0
['Oscar'],wandascrumbs,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",THIS IMAGE THIS IMAGE LAWD HAVE MERCY #Oscar,6005,2211,FALSE,0
['Oscar'],acelyax01,Canyon Moon,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @FILSP4CE: OK IT’S HAPPENING EVERYBODY STAY CALM  #Oscar https://t.co/bQzhEgCtlS,1999,2398,FALSE,0
['Oscar'],Pablaelizabet11,"Caleta Olivia, Argentina","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @spideysnews: More of Zendaya &amp; Andrew Garfield at the 2022 #Oscar ’s!
 https://t.co/UD8f5mdlOr",33,26,FALSE,0
['Oscar'],jihyoowo_,mujer,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @billieethinker: the queen arrived #Oscar https://t.co/HZzLdtCLTw,2574,185,FALSE,0
[],alllthingsposh,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LMAO ME,98781,2083,FALSE,0
['Oscar'],MarliMarkez,"Ljubljana, Slovenia","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @twiterswindler: Looking for an ""I'm not buying it"" gif #Oscar https://t.co/NPEi6oJGe6",2848,595,FALSE,0
['Oscar'],cupidscloud,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @VVFriedman: Kristen Stewart, also breaking some #Oscar red carpet rules. No mermaid dresses! No princess frocks! It's about time. https…",16955,1928,FALSE,0
['Oscar'],zel365,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",7763,298,FALSE,0
[],Crypto_Preston,USA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Many might not know this, but @WillConlon is also an accomplished actor who has been in movies and TV shows! 

The… https://t.co/irFsPPYBTG",4248,1378,FALSE,0
['Oscar'],btsbecks,she/her ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @beckygarchives: Becky G at the #Oscar tonight ❤ https://t.co/dPIL4cop74,105834,1502,FALSE,0
[],chiquemuffin,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Don't give me this anxiety please it looks like I have to kill this dress with a slipper in the bathroom. But, yet,… https://t.co/Jjiy8tiERx",126,21,FALSE,0
"['Oscars2022', 'Oscar']",KingBeyBzz,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @xonecole: Baybeeeee. This color. This glow. This love. This couple.🥰

COME THROUGH THEN SMITHS! 

#Oscars2022 #Oscar https://t.co/rQJWV…",3465,101,FALSE,0
['Oscar'],typemani, fan account ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",*me leaving the #Oscar after Beyoncé is done performing* https://t.co/jxczQrtB8D,142227,2333,FALSE,0
['Oscar'],duskyliterati,"Durham, NC","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @21metgala: Jay Ellis attends the 94th #Oscar https://t.co/XAgjr77bAd,42079,2333,FALSE,0
['Oscar'],SPlDEYMKL,23 | she/her,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @comealivedaya: Zendaya looking as gorgeous as ever #Oscar https://t.co/48oCv07jmQ,57022,358,FALSE,0
"['Dune', 'Oscar']",EyedSheep,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@GraceRandolph @lilacchocolates Wow.. i was waiting for this tweet.. 
And #Dune just won the #Oscar for best sound.. well it deserved.",16725,8,FALSE,0
['Oscar'],weIIkend,she/any 17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @PadaleckixSofer: Vanessa Hudgens and Andrew Garfield’s friendship is beautiful #Oscar https://t.co/tRhAyKjbSQ,14828,386,FALSE,0
[],Danii_Ferr0,Bajo El Cielo Purpura De Roma,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",No need to show your boobs to look good 🤷🏻‍♀️,3496,1252,FALSE,0
"['WillSmith', 'Oscar']",Ann_Caruso,NYC,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Look at that smile! He knows he is going to win tonight! #WillSmith #Oscar https://t.co/RuwxP4F6Xf,80561,6295,FALSE,0
['Oscar'],fishandkangaroo,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @christylemire: In all the time they're wasting with these inane #Oscar pre-show gags and bits and regular-person interactions that add…,173760,716,FALSE,0
['Oscar'],justdallas11,"Baltimore, MD","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",27637,172,FALSE,0
['Oscar'],lovingcaitriona,she/her || 22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @21metgala: Caitriona Balfe attends the 94th #Oscar https://t.co/JHqxLVpIyc,6027,260,FALSE,0
['Oscar'],wrightbxrnes,Fred and George ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @andrewthinker: The way their friendship is everything to me 🥺 #Oscar https://t.co/11OlvFSyDr,26609,1074,FALSE,0
['oscar'],pablofcobeloo,"Rota, Cádiz","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @a1andar: kelly mantle has just arrived to the 2022 #oscar red carpet 🤩 https://t.co/T5SX3uCgRI,15201,398,FALSE,0
"['Oscars2022', 'BestPicture', 'Jaws', 'DriveMyCar', 'Oscar', 'AcademyAwards']",thedailyjaws,Amity Island,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Oscars2022 #BestPicture as told through #Jaws.
#DriveMyCar #Oscar #AcademyAwards https://t.co/tXfvA7NX4v https://t.co/qi0hqzpBz5",88431,25535,FALSE,0
['Oscar'],cabecadealface,ela/dela • 🏳️‍🌈,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @billieethinker: the queen arrived #Oscar https://t.co/HZzLdtCLTw,13901,796,FALSE,0
[],Helna_Handbskt,Somewhere.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@SimuLiu dude... stun👏ning👏,80254,971,FALSE,0
['Oscar'],aldanaastorgad,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @LOVEROFPALLOM: THIS IS EVERYTHING I WANTED!!!!#Oscar https://t.co/bAwNajRbb0,2290,49,FALSE,0
"['Oscar', 'Oscars2022']",vashi_sta,he/him,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Lulamaybelle: #Oscar nominee Kristen Stewart has arrived! #Oscars2022 https://t.co/UoaLcp2l6Q,35332,571,FALSE,0
['Oscar'],U____OUT,성부성자성령의이름으로동성애,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @sIeepysnail: SIMU ALWAYS LOOKING STUNNING #Oscar https://t.co/kLsItM7gIR,27365,806,FALSE,0
